DevGroup,Module,PrjPath,AssemblyName,BuildStage,IsNeedBuild
ADP,CDP,Src\CDP\Definition\Designer\ComponentDesinger.csproj,Inspur.GSP.Cdp.Definition.Designer,40DomainImpl,True
ADP,CDP,Src\CDP\Definition\DTManager\ComponentDTManager.csproj,Inspur.GSP.Cdp.Definition.DTManager,40DomainImpl,True
ADP,CDP,Src\CDP\Definition\LocalClient\ComponentLocalClient.csproj,Inspur.GSP.Cdp.Definition.LocalClient,40DomainImpl,True
ADP,CDP,Src\CDP\Definition\RemoteClient\ComponentRemoteClient.csproj,Inspur.GSP.Cdp.Definition.RemoteClient,40DomainImpl,True
ADP,CDP,Src\CDP\Definition\RTManager\ComponentRTManager.csproj,Inspur.GSP.Cdp.Definition.RTManager,40DomainImpl,True
ADP,CDP,Src\CDP\Engine\Engine\Engine.csproj,Inspur.GSP.Cdp.Engine,40DomainImpl,True
ADP,CDP,Src\CDP\Engine\LocalClient\EngineLocalClient.csproj,Inspur.GSP.Cdp.Engine.LocalClient,40DomainImpl,True
ADP,CDP,Src\CDP\Engine\RemoteClient\EngineRemoteClient.csproj,Inspur.GSP.Cdp.Engine.RemoteClient,40DomainImpl,True
ADP,DAS,Src\DAS\CommonDataType\BusinessFieldManager\CommonDataTypeRTManager.csproj,Inspur.GSP.Das.CommonDataType.RTManager,40DomainImpl,True
ADP,DAS,Src\DAS\CommonDataType\CommonDataTypeDTManager\CommonDataTypeDTManager.csproj,Inspur.GSP.Das.CommonDataType.DTManager,40DomainImpl,True
ADP,DAS,Src\DAS\CommonDataType\Desinger\CommonDataTypeDesinger.csproj,Inspur.GSP.Das.CommonDataType.Designer,40DomainImpl,True
ADP,DAS,Src\DAS\Dae\Engine\Engine.csproj,Inspur.GSP.Das.Dae.Engine,40DomainImpl,True
